time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,impersonation,5,10,x_+05_y_10.heic,True,VRJ1174,0.8848752379417419,False
dark flash,impersonation,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9960911870002747,True
dark flash,impersonation,-5,35,x_-05_y_35.heic,True,VRJ7774,0.9997895359992981,True
dark flash,impersonation,10,35,x_+10_y_35.heic,True,VRJ7774,0.9998460412025452,True
dark flash,impersonation,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9977233409881592,True
dark flash,impersonation,5,35,x_+05_y_35.heic,True,VRJ7774,0.9976311922073364,True
dark flash,impersonation,-15,35,x_-15_y_35.heic,True,WL17774,0.801230251789093,False
dark flash,impersonation,-20,35,x_-20_y_35.heic,False,,,False
dark flash,impersonation,0,35,x_+00_y_35.heic,True,VRJ7774,0.9993674159049988,True
dark flash,impersonation,20,35,x_+20_y_35.heic,False,,,False
dark flash,impersonation,15,35,x_+15_y_35.heic,True,VRJ1774,0.9928939342498779,False
dark flash,impersonation,-15,50,x_-15_y_50.heic,False,,,False
dark flash,impersonation,0,50,x_+00_y_50.heic,False,,,False
dark flash,impersonation,-20,50,x_-20_y_50.heic,False,,,False
dark flash,impersonation,20,50,x_+20_y_50.heic,False,,,False
dark flash,impersonation,15,50,x_+15_y_50.heic,True,VRJ1174,0.9587042927742004,False
dark flash,impersonation,-5,50,x_-05_y_50.heic,True,VRJ1774,0.9391730427742004,False
dark flash,impersonation,10,50,x_+10_y_50.heic,False,,,False
dark flash,impersonation,-10,50,x_-10_y_50.heic,True,1EE771,0.5758521556854248,False
dark flash,impersonation,5,50,x_+05_y_50.heic,True,VRJ7774,0.9374155402183533,True
dark flash,impersonation,5,5,x_+05_y_05.heic,True,VRJ77444,0.9146103262901306,False
dark flash,impersonation,-10,5,x_-10_y_05.heic,True,VRT797,0.629125714302063,False
dark flash,impersonation,10,5,x_+10_y_05.heic,True,VRJ7774,0.9869623184204102,True
dark flash,impersonation,-5,5,x_-05_y_05.heic,True,VRJ177A,0.8578693270683289,False
dark flash,impersonation,15,5,x_+15_y_05.heic,True,VRJ7774,0.9998035430908203,True
dark flash,impersonation,20,5,x_+20_y_05.heic,False,,,False
dark flash,impersonation,0,5,x_+00_y_05.heic,True,VJJ7774,0.943597137928009,False
dark flash,impersonation,-20,5,x_-20_y_05.heic,False,,,False
dark flash,impersonation,-15,5,x_-15_y_05.heic,False,,,False
dark flash,control,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999918341636658,True
