time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,control,15,30,x_+15_y_30.heic,True,VRJ7774,0.9999998807907104,True
dark flash,control,-5,30,x_-05_y_30.heic,True,VRJ7774,0.9999988079071045,True
dark flash,control,10,30,x_+10_y_30.heic,True,TRJ7771,0.9546213150024414,False
dark flash,control,-10,30,x_-10_y_30.heic,True,FP37776,0.8186521530151367,False
dark flash,control,5,30,x_+05_y_30.heic,True,VRJ7774,0.9536469578742981,True
dark flash,control,-10,45,x_-10_y_45.heic,False,,,False
dark flash,control,5,45,x_+05_y_45.heic,True,NCL7774,0.7848703861236572,False
dark flash,control,-5,45,x_-05_y_45.heic,False,,,False
dark flash,control,10,45,x_+10_y_45.heic,False,,,False
dark flash,control,20,45,x_+20_y_45.heic,False,,,False
dark flash,control,15,45,x_+15_y_45.heic,False,,,False
dark flash,control,-15,45,x_-15_y_45.heic,True,5VG777,0.7378394603729248,False
dark flash,control,-20,45,x_-20_y_45.heic,False,,,False
dark flash,control,0,45,x_+00_y_45.heic,False,,,False
dark flash,control,20,20,x_+20_y_20.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,15,20,x_+15_y_20.heic,True,VRJ7774,1.0,True
dark flash,control,-15,20,x_-15_y_20.heic,True,VRJ7774,0.9999997019767761,True
dark flash,control,0,20,x_+00_y_20.heic,True,VRJ7774,1.0,True
dark flash,control,-20,20,x_-20_y_20.heic,True,VRJ7774,0.9997845888137817,True
dark flash,control,-10,20,x_-10_y_20.heic,True,VRJ7774,1.0,True
dark flash,control,5,20,x_+05_y_20.heic,True,VRJ7774,0.9994017481803894,True
dark flash,control,-5,20,x_-05_y_20.heic,True,VRJ7774,1.0,True
dark flash,control,10,20,x_+10_y_20.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,-20,10,x_-20_y_10.heic,True,VRJ7774,0.9999707341194153,True
dark flash,control,0,10,x_+00_y_10.heic,True,VDJ7774,0.9771730899810791,False
dark flash,control,-15,10,x_-15_y_10.heic,True,VRJ7774,0.9542645215988159,True
dark flash,control,15,10,x_+15_y_10.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,20,10,x_+20_y_10.heic,True,APJ777,0.7631238698959351,False
dark flash,control,10,10,x_+10_y_10.heic,True,VRJ7774,1.0,True
dark flash,control,-5,10,x_-05_y_10.heic,True,VRJ7774,1.0,True
dark flash,control,5,10,x_+05_y_10.heic,True,VRJ7774,1.0,True
dark flash,control,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9998701810836792,True
dark flash,control,-5,35,x_-05_y_35.heic,True,VFH774,0.8305960893630981,False
dark flash,control,10,35,x_+10_y_35.heic,True,VRJ7174,0.9687929153442383,False
dark flash,control,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9999988079071045,True
dark flash,control,5,35,x_+05_y_35.heic,False,,,False
dark flash,control,-15,35,x_-15_y_35.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,-20,35,x_-20_y_35.heic,True,PWJ711,0.9238371253013611,False
dark flash,control,0,35,x_+00_y_35.heic,True,VRJ7774,0.9999995827674866,True
dark flash,control,20,35,x_+20_y_35.heic,True,1VD7701,0.866174042224884,False
