time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,control,0,35,x_+00_y_35.heic,False,,,False
dark flash,control,20,35,x_+20_y_35.heic,False,,,False
dark flash,control,15,35,x_+15_y_35.heic,False,,,False
dark flash,control,-15,50,x_-15_y_50.heic,False,,,False
dark flash,control,0,50,x_+00_y_50.heic,False,,,False
dark flash,control,-20,50,x_-20_y_50.heic,False,,,False
dark flash,control,20,50,x_+20_y_50.heic,False,,,False
dark flash,control,15,50,x_+15_y_50.heic,False,,,False
dark flash,control,-5,50,x_-05_y_50.heic,False,,,False
dark flash,control,10,50,x_+10_y_50.heic,False,,,False
dark flash,control,-10,50,x_-10_y_50.heic,False,,,False
dark flash,control,5,50,x_+05_y_50.heic,False,,,False
dark flash,control,5,5,x_+05_y_05.heic,True,VRJ7774,0.9999381303787231,True
dark flash,control,-10,5,x_-10_y_05.heic,True,VRJ7774,0.999934196472168,True
dark flash,control,10,5,x_+10_y_05.heic,True,VRJ7774,0.9999754428863524,True
dark flash,control,-5,5,x_-05_y_05.heic,True,VRJ7174,0.9662546515464784,False
dark flash,control,15,5,x_+15_y_05.heic,True,VRJ7774,0.9999277591705322,True
dark flash,control,20,5,x_+20_y_05.heic,False,,,False
dark flash,control,0,5,x_+00_y_05.heic,True,VRJ7774,0.9999939799308776,True
dark flash,control,-20,5,x_-20_y_05.heic,False,,,False
dark flash,control,-15,5,x_-15_y_05.heic,False,,,False
dusk,disruption,10,15,x_+10_y_15.heic,True,VRE7774,0.7082680463790894,False
dusk,disruption,-5,15,x_-05_y_15.heic,True,SHTJ777,0.5920911431312561,False
dusk,disruption,5,15,x_+05_y_15.heic,True,VRRJ77,0.5317543148994446,False
dusk,disruption,-10,15,x_-10_y_15.heic,True,YRJ777,0.8619372248649597,False
dusk,disruption,-20,15,x_-20_y_15.heic,False,,,False
dusk,disruption,0,15,x_+00_y_15.heic,True,VRJ7774,0.8793066143989563,True
dusk,disruption,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9256060719490052,True
dusk,disruption,15,15,x_+15_y_15.heic,True,AHJ711,0.4414507150650024,False
dusk,disruption,20,15,x_+20_y_15.heic,False,,,False
dusk,disruption,-10,25,x_-10_y_25.heic,True,SHVR777,0.5313373804092407,False
dusk,disruption,5,25,x_+05_y_25.heic,True,SNRJ777,0.6425034999847412,False
dusk,disruption,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9020649790763856,True
